start_year,total_deaths
1816,33634.0
1817,59274.0
1818,77774.0
1819,137765.0
1820,144220.0
1821,158132.0
1823,189132.0
1824,197914.0
1825,420805.0
1826,474405.0
1827,474561.0
1828,628561.0
1829,631387.0
1830,654778.0
1831,703352.0
1832,704125.0
1833,704125.0
1834,831107.0
1835,843488.0
1836,861811.0
1837,881493.0
1838,885984.0
1839,953125.0
1840,984613.0
1841,988868.0
1842,993468.0
1843,1004104.0
1844,1005095.0
1845,1017579.0
1846,1041828.0
1847,1053610.0
1848,1151980.0
1849,1171872.0
1850,1179263.0
1851,1186154.0
1852,1199336.0
1853,1344318.0
1854,1463409.0
1855,1484182.0
1856,1514829.0
1857,1537320.0
1858,1547693.0
1859,1602193.0
1860,1730612.0
1861,2349594.0
1862,2376643.0
1863,2432219.0
1864,2739301.0
1865,2751901.0
1866,2797647.0
1867,2801347.0
1868,2986293.0
1869,2987766.0
1870,3200543.0
1871,3239091.0
1872,3289091.0
1873,3314591.0
1874,3314591.0
1875,3337291.0
1876,3352025.0
1877,3657925.0
1878,3698916.0
1879,3724984.0
1880,3728575.0
1881,3779058.0
1882,3795637.0
1883,3806720.0
1884,3829820.0
1885,3876002.0
1887,3877402.0
1888,3883384.0
1890,3887466.0
1891,3899666.0
1892,3921546.0
1893,3936798.0
1894,3962745.0
1895,4075519.0
1896,4107901.0
1897,4112012.0
1898,4117697.0
1899,4273722.0
1900,4282725.0
1901,4291108.0
1902,4295090.0
1903,4302511.0
1904,4524115.0
1905,4534446.0
1906,4539882.0
1907,4570251.0
1908,4570251.0
1909,4592325.0
1910,4695057.0
1911,4721057.0
1912,4809680.0
1913,4873595.0
1914,12280914.0
1915,13018421.0
1916,13362681.0
1917,14284197.0
1918,14328304.0
1919,14539293.0
1920,14568271.0
1921,14636804.0
1922,14636804.0
1923,14676768.0
1924,14676768.0
1925,14692742.0
1926,14828742.0
1927,14829234.0
1928,14844198.0
1929,14854880.0
1930,15357021.0
1931,15437021.0
1932,15533364.0
1934,15537773.0
1935,15557773.0
1936,16036825.0
1937,17036825.0
1938,17038551.0
1939,21764656.0
1940,21981856.0
1941,33787256.0
1943,33839656.0
1944,33919855.0
1945,34020330.0
1946,35489821.0
1947,35512639.0
1948,35562704.0
1950,36496231.0
1951,36497270.0
1952,36517352.0
1953,36523052.0
1954,36557422.0
1955,36557422.0
1956,36606269.0
1957,36609291.0
1958,36617216.0
1959,36617216.0
1960,36722440.0
1961,36754421.0
1962,36767748.0
1963,36789419.0
1964,36807339.0
1965,37837483.0
1966,37842985.0
1967,37892082.0
1968,37910999.0
1969,37922267.0
1970,37937915.0
1971,38041049.0
1972,38117231.0
1973,38146659.0
1974,38168133.0
1975,38257257.0
1976,38307757.0
1977,38326257.0
1978,38401895.0
1979,38465616.0
1980,39890642.0
1981,39893642.0
1982,40019990.0
1983,40049980.0
1984,40061671.0
1985,40061678.0
1986,40089678.0
1987,40094789.0
1988,40094789.0
1989,40130293.0
1990,40198985.0
1991,40229099.0
1992,40280271.0
1993,40302218.0
1994,40312341.0
1995,40313815.0
1996,40313815.0
1997,40319629.0
1998,40440500.0
1999,40473268.0
2000,40477515.0
2001,40504583.0
2002,40507248.0
2003,40548096.0
2004,40564143.0
2005,40568066.0
2006,40568066.0
2007,40571549.0
